customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,code,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,Hash,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
,Male,0,Yes,No,72,Yes,Yes,5248,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,YGIJN,Yes,Credit card (automatic),90.25,6369.45,No
,Female,0,No,Yes,17,Yes,No,8773,DSL,No,No,No,No,Yes,Yes,Month-to-month,HHUOZ,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,3841,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,NFECX,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,4929,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,XIHVW,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,6827,DSL,Yes,Yes,Yes,Yes,No,No,One year,IEAUQ,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,7310,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,EGVHZ,No,Bank transfer (automatic),20.2,20.2,No
,Male,1,No,No,1,Yes,No,3413,DSL,No,No,No,No,No,No,Month-to-month,BMNZE,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,6234,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,RAAPL,No,Bank transfer (automatic),99.9,7251.7,No
,Male,0,No,No,5,Yes,No,6047,Fiber optic,No,No,No,No,No,No,Month-to-month,YHPVI,Yes,Electronic check,69.7,316.9,Yes
,Female,0,No,No,46,Yes,No,6572,Fiber optic,No,No,Yes,No,No,No,Month-to-month,ADKRS,Yes,Credit card (automatic),74.8,3548.3,No
,Male,0,No,No,34,Yes,Yes,5380,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,WJKOV,Yes,Electronic check,106.35,3549.25,Yes
,Female,0,No,No,11,Yes,Yes,8168,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,UQWWF,Yes,Bank transfer (automatic),97.85,1105.4,Yes
,Male,0,Yes,Yes,10,Yes,No,8865,DSL,No,Yes,No,No,No,No,One year,TNMNX,No,Mailed check,49.55,475.7,No
,Female,0,Yes,Yes,70,Yes,Yes,9489,DSL,Yes,Yes,No,No,Yes,No,Two year,DEDVP,Yes,Credit card (automatic),69.2,4872.35,No
,Female,0,Yes,Yes,17,Yes,No,9867,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,JCZSP,No,Mailed check,20.75,418.25,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,4671,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,VJLCL,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,4080,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,IIARD,Yes,Electronic check,76.2,981.45,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,3714,Fiber optic,No,No,No,No,No,Yes,Month-to-month,NTNFO,Yes,Electronic check,84.5,3906.7,No
,Male,0,No,No,2,Yes,No,5948,DSL,No,Yes,No,No,No,No,Month-to-month,UJZLF,No,Mailed check,49.25,97,No
,Female,0,No,No,2,Yes,No,7760,Fiber optic,No,No,No,No,Yes,No,Month-to-month,OYPDY,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,7639,DSL,Yes,No,No,Yes,Yes,Yes,Two year,LIAYI,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,2954,DSL,Yes,No,Yes,Yes,No,No,Two year,PIBKO,Yes,Credit card (automatic),64.15,4254.1,No
,Female,1,No,No,43,Yes,Yes,8012,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,SOUDQ,Yes,Electronic check,90.25,3838.75,No
,Female,0,No,No,15,Yes,No,9420,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,LOJKX,Yes,Credit card (automatic),99.1,1426.4,Yes
,Female,1,Yes,No,25,Yes,Yes,6575,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,SUVOI,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,7495,Fiber optic,No,Yes,No,No,No,No,Month-to-month,OOKFY,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,4667,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,QONEA,Yes,Credit card (automatic),74.85,4456.35,No
,Male,1,No,No,18,Yes,Yes,1658,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,BYGOY,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,8769,Fiber optic,Yes,No,No,No,Yes,Yes,One year,KKTPH,Yes,Credit card (automatic),99.65,6311.2,No
,Male,1,Yes,Yes,66,Yes,Yes,5067,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,XJQFU,Yes,Electronic check,108.45,7076.35,No
,Female,0,Yes,Yes,34,Yes,Yes,3957,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,SQXML,No,Credit card (automatic),24.95,894.3,No
,Female,0,No,No,72,Yes,Yes,5954,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,BDFSG,Yes,Credit card (automatic),107.5,7853.7,No
,Female,0,Yes,No,47,Yes,Yes,434,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,CSFON,Yes,Electronic check,100.5,4707.1,No
,Male,0,No,No,60,Yes,Yes,1215,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,FIGMP,Yes,Bank transfer (automatic),89.9,5450.7,No
,Male,0,Yes,No,72,No,No phone service,526,DSL,Yes,Yes,Yes,No,No,No,Two year,SXDJP,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,557,DSL,No,No,Yes,Yes,No,No,One year,ASKVU,Yes,Credit card (automatic),54.4,957.1,No
,Female,0,No,No,9,Yes,Yes,5698,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,BQJOH,No,Electronic check,94.4,857.25,Yes
,Female,0,No,No,3,Yes,No,5122,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,CYFXA,Yes,Electronic check,75.3,244.1,No
,Male,0,Yes,No,47,Yes,Yes,8627,Fiber optic,No,Yes,No,No,No,No,One year,ZYGSZ,Yes,Electronic check,78.9,3650.35,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,3410,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,YOQBQ,No,Mailed check,79.2,2497.2,No
,Female,0,Yes,Yes,50,Yes,No,3170,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NMYVV,No,Bank transfer (automatic),20.15,930.9,No
,Male,0,No,No,10,Yes,No,7410,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,OIEDU,Yes,Mailed check,79.85,887.35,No
,Male,0,No,No,1,Yes,No,2273,DSL,No,No,No,Yes,No,No,Month-to-month,QCKXA,No,Mailed check,49.05,49.05,No
,Female,0,Yes,Yes,52,Yes,No,731,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,EBJQB,Yes,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,1891,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,QRQSA,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,8028,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,PNXHQ,Yes,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,5630,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,AHZIL,Yes,Bank transfer (automatic),64.5,177.4,No
,Female,1,No,No,56,Yes,Yes,2673,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,CXQEU,No,Electronic check,110.5,6139.5,No
6416-JNVRK,Female,0,No,No,46,Yes,No,6416,DSL,No,No,No,No,No,Yes,One year,JNVRK,No,Credit card (automatic),55.65,2688.85,No
,Female,0,Yes,Yes,8,Yes,No,5590,DSL,Yes,Yes,No,No,No,No,Month-to-month,ZSKRV,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,191,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,ZHSKZ,Yes,Electronic check,74.75,2111.3,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,3887,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,PBQAO,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,5919,Fiber optic,No,No,No,No,Yes,No,Month-to-month,TMRGD,Yes,Electronic check,79.35,79.35,Yes
,Female,0,Yes,Yes,11,No,No phone service,8108,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,UXRQN,No,Electronic check,50.55,565.35,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,9191,Fiber optic,No,No,Yes,No,No,No,Month-to-month,MYQKX,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,Female,0,No,No,42,Yes,No,9919,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,YLNNG,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,318,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,ZOPWS,Yes,Bank transfer (automatic),20.15,973.35,No
,Male,0,No,No,9,Yes,Yes,4445,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,ZJNMU,Yes,Credit card (automatic),99.3,918.75,No
,Female,0,Yes,No,35,Yes,No,4808,DSL,Yes,No,No,No,Yes,No,One year,YNLEU,Yes,Bank transfer (automatic),62.15,2215.45,No
,Female,0,Yes,Yes,48,Yes,No,1862,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,QRWPE,No,Bank transfer (automatic),20.65,1057,No
,Female,0,Yes,Yes,46,Yes,No,2796,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NNUFI,Yes,Mailed check,19.95,927.1,No
,Male,0,Yes,No,29,No,No phone service,3016,DSL,No,No,No,No,Yes,No,Month-to-month,KSVCP,No,Mailed check,33.75,1009.25,No
,Male,0,Yes,Yes,30,Yes,No,4767,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,HZZHQ,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,1,No,No,1,Yes,No,2424,Fiber optic,No,No,No,Yes,No,No,Month-to-month,WVHPL,No,Electronic check,74.7,74.7,No
,Male,0,Yes,Yes,66,Yes,Yes,7233,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,PAHHL,Yes,Mailed check,84,5714.25,No
6067-NGCEU,Female,0,No,No,65,Yes,Yes,6067,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,NGCEU,Yes,Credit card (automatic),111.05,7107,No
,Male,0,No,No,72,Yes,Yes,9848,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,JQJTX,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,Female,0,No,No,12,Yes,Yes,8637,Fiber optic,Yes,No,No,No,No,No,Month-to-month,XJIVR,Yes,Electronic check,78.95,927.35,Yes
,Male,0,Yes,Yes,71,Yes,Yes,9803,DSL,Yes,Yes,No,Yes,No,No,One year,FTJCG,Yes,Credit card (automatic),66.85,4748.7,No
,Male,0,No,No,5,Yes,No,278,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,YXOOG,No,Mailed check,21.05,113.85,Yes
,Male,0,No,No,52,Yes,No,3212,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,KXOCR,No,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,4598,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,XLKNJ,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,0,No,No,1,Yes,No,6380,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,ARCEH,No,Mailed check,20.2,20.2,No
,Female,0,Yes,Yes,1,Yes,No,3679,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,XASPY,No,Electronic check,19.45,19.45,No
,Male,0,No,No,38,Yes,Yes,7123,Fiber optic,No,No,Yes,Yes,Yes,No,One year,WQUHX,No,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,5386,DSL,No,Yes,Yes,No,Yes,No,One year,THSLQ,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,3192,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,NQECA,Yes,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,Male,0,No,No,5,No,No phone service,6180,DSL,No,No,No,No,No,No,Month-to-month,YBIQI,No,Mailed check,24.3,100.2,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,6728,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,DKUCO,Yes,Electronic check,104.15,7303.05,No
,Female,0,No,No,32,No,No phone service,9750,DSL,Yes,No,No,No,No,No,One year,BOOHV,No,Mailed check,30.15,927.65,No
,Male,0,No,No,43,Yes,Yes,8597,Fiber optic,No,No,No,No,Yes,Yes,One year,CWYHH,No,Mailed check,94.35,3921.3,No
,Male,0,Yes,Yes,72,Yes,No,2848,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,YXSMW,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,486,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,HECZI,Yes,Electronic check,96.75,5238.9,Yes
,Female,0,No,No,52,Yes,No,4549,DSL,Yes,No,Yes,Yes,No,No,One year,ZDQYY,No,Credit card (automatic),57.95,3042.25,No
,Female,0,No,No,43,Yes,No,5712,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,AHQNN,Yes,Electronic check,91.65,3954.1,No
,Female,1,Yes,No,37,Yes,Yes,4846,Fiber optic,No,No,No,No,No,No,Month-to-month,WHAFZ,Yes,Electronic check,76.5,2868.15,Yes
,Female,0,Yes,Yes,64,No,No phone service,5256,DSL,No,Yes,No,Yes,Yes,Yes,Two year,SKJGO,Yes,Electronic check,54.6,3423.5,No
,Male,0,Yes,Yes,3,Yes,No,3071,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,VBYPO,No,Electronic check,89.85,248.4,No
9560-BBZXK,Female,0,No,No,36,No,No phone service,9560,DSL,Yes,No,No,No,No,No,Two year,BBZXK,No,Bank transfer (automatic),31.05,1126.35,No
,Female,0,Yes,Yes,10,Yes,Yes,5299,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,RULOA,Yes,Electronic check,100.25,1064.65,Yes
,Female,0,No,No,41,Yes,No,8402,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,OOOHJ,No,Mailed check,20.65,835.15,No
,Male,0,Yes,Yes,27,Yes,Yes,9445,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,ZUEQE,Yes,Credit card (automatic),85.2,2151.6,No
,Female,0,Yes,Yes,56,Yes,Yes,1091,Fiber optic,No,No,Yes,No,Yes,Yes,One year,SOZGA,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,0,No,No,6,Yes,No,2928,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,HLDBA,No,Mailed check,20.7,112.75,No
0404-SWRVG,Male,0,No,No,3,Yes,Yes,404,Fiber optic,No,No,No,No,No,No,Month-to-month,SWRVG,Yes,Electronic check,74.4,229.55,Yes
,Female,0,Yes,Yes,7,Yes,No,6497,DSL,Yes,No,No,No,No,No,Month-to-month,TILVL,No,Mailed check,50.7,350.35,No
,Female,0,Yes,Yes,4,Yes,No,7219,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,TLZHO,No,Mailed check,20.85,62.9,No
,Male,0,No,No,33,Yes,No,4622,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,YNKIJ,Yes,Electronic check,88.95,3027.65,No
,Female,1,No,No,27,Yes,Yes,4412,Fiber optic,No,No,Yes,No,No,No,Month-to-month,YLTKF,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,6734,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,PSBAW,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Male,0,No,No,1,Yes,No,3930,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,ZGWVE,No,Mailed check,19.75,19.75,No
2639-UGMAZ,Male,1,No,No,71,No,No phone service,2639,DSL,Yes,Yes,No,No,Yes,Yes,One year,UGMAZ,Yes,Electronic check,56.45,3985.35,No
,Female,0,No,No,13,Yes,Yes,2876,Fiber optic,No,No,No,No,No,Yes,Month-to-month,GZYZC,Yes,Electronic check,85.95,1215.65,No
,Female,0,Yes,Yes,25,No,No phone service,6207,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,WIOLX,Yes,Credit card (automatic),58.6,1502.65,Yes
,Male,0,No,No,67,Yes,No,8587,DSL,No,No,No,Yes,No,No,Two year,XYZSF,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Male,0,No,No,1,No,No phone service,3091,DSL,No,No,No,No,No,Yes,Month-to-month,FYHKI,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,Male,0,No,No,2,Yes,No,2372,DSL,No,No,No,No,No,No,Month-to-month,HWUHI,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,Female,0,No,No,43,Yes,Yes,7799,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,LGRDP,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,0,No,No,23,Yes,No,7850,Fiber optic,Yes,No,No,No,No,No,Month-to-month,VWJUU,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,3774,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,VBNXY,No,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,0,No,Yes,57,Yes,No,6217,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,KDYWC,Yes,Mailed check,19.6,1170.55,No
,Female,1,Yes,No,1,Yes,No,390,Fiber optic,No,No,No,No,No,No,Month-to-month,DCFDQ,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,3146,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,MSEGF,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,0,No,No,8,Yes,Yes,4080,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,OGPJL,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,1095,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,WGNGG,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,0,No,No,64,Yes,Yes,2636,Fiber optic,Yes,Yes,No,No,No,No,One year,SJDOU,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,1131,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,QQZEB,No,Bank transfer (automatic),23.95,1756.2,No
,Female,0,Yes,Yes,65,Yes,Yes,5716,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,EZXZN,Yes,Credit card (automatic),99.05,6416.7,No
,Male,0,No,No,3,Yes,No,6837,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,BJYDQ,No,Mailed check,19.6,61.35,No
2135-RXIHG,Male,0,No,No,1,Yes,No,2135,DSL,No,No,No,No,No,No,Month-to-month,RXIHG,Yes,Electronic check,45.65,45.65,Yes
,Male,0,No,Yes,30,Yes,No,6440,DSL,No,Yes,Yes,No,Yes,No,One year,DKQGE,No,Credit card (automatic),64.5,1929.95,No
,Male,0,Yes,Yes,15,Yes,No,3466,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,BYAVD,Yes,Mailed check,69.5,1071.4,No
,Female,0,Yes,Yes,8,Yes,No,3780,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,YVMFA,Yes,Electronic check,68.55,564.35,No
,Male,0,No,No,7,Yes,Yes,3874,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,EQOEP,No,Mailed check,95,655.5,Yes
,Female,0,Yes,Yes,70,Yes,Yes,1679,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,JRFBR,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,9073,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,ZZIAY,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,3077,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,RSNTJ,No,Mailed check,19.7,113.5,No
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,6551,Fiber optic,No,No,No,No,No,Yes,Month-to-month,GNYDG,Yes,Bank transfer (automatic),80.9,1152.8,No
,Female,0,No,No,22,Yes,Yes,9167,Fiber optic,No,No,No,No,Yes,No,Month-to-month,APMXZ,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,2749,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,CTKAJ,No,Mailed check,20.15,419.9,No
,Male,0,Yes,Yes,16,Yes,No,6371,DSL,Yes,No,Yes,No,Yes,No,Two year,NZYEG,No,Mailed check,64.25,1024,No
,Male,0,No,No,10,Yes,Yes,7554,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NEWDD,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,0,No,Yes,13,Yes,No,8992,DSL,Yes,Yes,No,No,No,No,Month-to-month,VONJD,Yes,Electronic check,56,764.55,No
